highway	name	@type	@id	@lat	@lon
		node	6705299104	46.7316085	23.5536093
		node	6734887165	46.7398714	23.5456784
		node	6734887172	46.7397381	23.5462024
		node	7878759226	46.7265912	23.5565227
		node	7902995848	46.7367823	23.5520727
		node	8305806729	46.7255430	23.5574722
		node	8907442296	46.7367411	23.5521186
		node	9193922078	46.7403891	23.5437334
		node	9388053731	46.7416550	23.5361684
path	Râtul Penii-Valea Gârbaului	way	874850604		
		node	8143615397	46.7270024	23.5388851
		node	8143615398	46.7269166	23.5393200
		node	8143615399	46.7268602	23.5396148
		node	8143615400	46.7268045	23.5399103
		node	8143615401	46.7268069	23.5401089
		node	8143615402	46.7268638	23.5404614
		node	8143615403	46.7269217	23.5406885
		node	8143615404	46.7269354	23.5412577
		node	8143615405	46.7268325	23.5415608
		node	8143615406	46.7268299	23.5420223
		node	8143615407	46.7267169	23.5423833
		node	8143615408	46.7266844	23.5426441
secondary	Drumul Sfântul Ioan	way	893669760		
		node	654078535	46.7231633	23.5587767
		node	654078536	46.7223698	23.5594338
		node	654078538	46.7224650	23.5592464
		node	654078539	46.7223727	23.5595796
		node	654078540	46.7225613	23.5597893
		node	654078541	46.7234233	23.5595745
		node	654078542	46.7239700	23.5584099
		node	654078543	46.7247537	23.5577901
		node	654078544	46.7245308	23.5597423
		node	654078545	46.7236347	23.5696740
		node	654078566	46.7249888	23.5598923
		node	654078569	46.7262350	23.5608145
		node	654078570	46.7265215	23.5616256
		node	654078571	46.7264808	23.5622122
		node	654078572	46.7253833	23.5657617
		node	3623016919	46.7262529	23.5629639
		node	4934573986	46.7235033	23.5700301
		node	6484243076	46.7264239	23.5611087
		node	6529730522	46.7235657	23.5698500
		node	6529730523	46.7245264	23.5677297
		node	6529730578	46.7260837	23.5634905
		node	6529730579	46.7261766	23.5631968
		node	6529730580	46.7263255	23.5627569
		node	6529730581	46.7263880	23.5625558
		node	6529730582	46.7264478	23.5623519
		node	6529730583	46.7265011	23.5620864
		node	6529730584	46.7265177	23.5619469
		node	6529765085	46.7265232	23.5617846
		node	6529765086	46.7265121	23.5614815
		node	6529765087	46.7264956	23.5613675
		node	6529765088	46.7264653	23.5612227
		node	6529765089	46.7263908	23.5610229
		node	6529765090	46.7262924	23.5608767
		node	6529765091	46.7263439	23.5609505
		node	6529765092	46.7251470	23.5600050
		node	6529765093	46.7248831	23.5598400
		node	6529765094	46.7247608	23.5597944
		node	6529765095	46.7226252	23.5591105
		node	6529765096	46.7228091	23.5589844
		node	6529765097	46.7223869	23.5596316
		node	6529765098	46.7224646	23.5597505
		node	6529765099	46.7225264	23.5597841
		node	6529765100	46.7226229	23.5597750
		node	6529765101	46.7231023	23.5596033
		node	6529765102	46.7231828	23.5595832
		node	6529765103	46.7232407	23.5595772
		node	6529765104	46.7232991	23.5595718
		node	6529765105	46.7233671	23.5595705
		node	6529765106	46.7224296	23.5592840
		node	6529765107	46.7223923	23.5593512
		node	6529765108	46.7223654	23.5595203
		node	6529765109	46.7224070	23.5596775
		node	6529765110	46.7224343	23.5597192
		node	6529765111	46.7224925	23.5597699
		node	6529765112	46.7237578	23.5585231
		node	6529765113	46.7239049	23.5584466
		node	6529765114	46.7244726	23.5579772
		node	6529765115	46.7240507	23.5583541
		node	6529765116	46.7240815	23.5583286
		node	6529765117	46.7240180	23.5583782
		node	6529765118	46.7245370	23.5579256
		node	6529765119	46.7245949	23.5578820
		node	6529765120	46.7246441	23.5578492
		node	6529765121	46.7246974	23.5578163
		node	6705299101	46.7241109	23.5596737
		node	6705299102	46.7236135	23.5595986
		node	7878759258	46.7262926	23.5628507
		node	7928723461	46.7240659	23.5596669
		node	7987111006	46.7257003	23.5647338
		node	7987111008	46.7258333	23.5643024
		node	8305806729	46.7255430	23.5574722
		node	8305862534	46.7255286	23.5574780
		node	8892338534	46.7249876	23.5666706
		node	8892338641	46.7235578	23.5698727
		node	9101662189	46.7255540	23.5652082
		node	9101673425	46.7244376	23.5679232
residential	Aleea Veveriței	way	356903910		
		node	3623016919	46.7262529	23.5629639
		node	3623016920	46.7262116	23.5626812
		node	3623016921	46.7261010	23.5624161
residential	Strada Liviu Rusu	way	85672309		
		node	1805096619	46.7172110	23.5787938
		node	1805096670	46.7171193	23.5769868
		node	1805096758	46.7171228	23.5770772
		node	1805096761	46.7170897	23.5766910
		node	1805096781	46.7168690	23.5790674
		node	1805096797	46.7167697	23.5796843
		node	1805096800	46.7167962	23.5791941
		node	1805096803	46.7171485	23.5789387
		node	1805096829	46.7172000	23.5788635
		node	1805096830	46.7171411	23.5762082
		node	1805096832	46.7167770	23.5800276
		node	1805096840	46.7168028	23.5802798
		node	1805096886	46.7172073	23.5780696
		node	1805096892	46.7168307	23.5807551
		node	3782997574	46.7170850	23.5756255
		node	3782997575	46.7170308	23.5751431
		node	3782997576	46.7170242	23.5750519
		node	3782997578	46.7170832	23.5756091
		node	3782997587	46.7168986	23.5790415
		node	6584625144	46.7167874	23.5793153
		node	6584625145	46.7168244	23.5791260
		node	7896500906	46.7170284	23.5751097
residential	Strada Foișorului	way	242578415		
		node	2500462903	46.7123049	23.5724197
		node	2500462904	46.7120629	23.5728494
		node	2500462905	46.7117498	23.5733181
		node	2500462906	46.7112635	23.5738113
		node	2500462907	46.7108459	23.5740960
		node	2500462908	46.7106759	23.5743826
		node	2500462909	46.7107043	23.5750897
		node	2500462910	46.7107321	23.5753732
		node	2500462911	46.7106574	23.5757710
		node	2500462912	46.7107290	23.5752966
		node	2500462917	46.7110289	23.5740329
		node	2500462930	46.7112027	23.5738733
		node	6584532772	46.7107502	23.5742019
		node	6584532773	46.7111383	23.5739605
		node	6584532774	46.7114831	23.5735314
		node	6584532775	46.7116477	23.5733718
		node	6584532776	46.7118289	23.5732377
		node	7985819615	46.7113895	23.5736508
residential	Strada Foișorului	way	242578416		
		node	2500462912	46.7107290	23.5752966
		node	2500462913	46.7108986	23.5752685
		node	2500462914	46.7110516	23.5751638
		node	2500462915	46.7113034	23.5752396
		node	2500462916	46.7109843	23.5761336
		node	6584532767	46.7113365	23.5753850
		node	6584532768	46.7113435	23.5754814
		node	6584532769	46.7113226	23.5755236
		node	6584532770	46.7111628	23.5751806
		node	6584532771	46.7108071	23.5752989
		node	9061791180	46.7113192	23.5753091
secondary	Strada Făgetului	way	318412952		
		node	346236908	46.7148684	23.5735320
		node	346236909	46.7144904	23.5733530
		node	346236910	46.7134544	23.5725244
		node	346236912	46.7131532	23.5724619
		node	346236914	46.7126793	23.5725447
		node	346236915	46.7124949	23.5725175
